date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Brighton,home_Burnley,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Leeds United,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Sheffield Utd,home_Southampton,home_Tottenham,home_West Brom,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Brighton,away_Burnley,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Leeds United,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Sheffield Utd,away_Southampton,away_Tottenham,away_West Brom,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2020-10-04,12:00,Matchweek 4,Southampton,West Brom,Home,1,2,0,62.0,38.0,1.2,0.2,13.0,5.0,7.0,2.0,-0.3333333333333333,1.0,2.0,1.1666666666666667,1.2333333333333334,55.666666666666664,9.0,4.0,-0.6666666666666666,1.6666666666666667,3.6666666666666665,0.43333333333333335,2.9,30.0,7.333333333333333,2.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,-0.6666666666666667,0.7333333333333334,25.666666666666664,1.6666666666666665
2020-10-04,14:00,Matchweek 4,Arsenal,Sheffield Utd,Home,1,2,1,64.0,36.0,0.6,0.2,6.0,6.0,5.0,2.0,0.3333333333333333,2.0,1.3333333333333333,1.4333333333333333,1.6000000000000003,50.0,8.0,3.6666666666666665,-1.0,0.0,1.3333333333333333,1.0999999999999999,1.2,40.0,8.666666666666666,1.6666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3333333333333333,2.0,0.3333333333333335,10.0,0.0
2020-10-04,14:00,Matchweek 4,Wolves,Fulham,Home,1,1,0,48.0,52.0,1.2,0.9,14.0,10.0,5.0,2.0,-0.3333333333333333,1.0,2.3333333333333335,0.8333333333333334,1.7666666666666666,47.666666666666664,10.666666666666666,2.3333333333333335,-1.0,1.0,3.3333333333333335,0.8333333333333334,1.5666666666666664,53.0,11.333333333333334,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666667,0.0,0.0,-5.333333333333336,1.0
2020-10-04,16:30,Matchweek 4,Manchester Utd,Tottenham,Home,-1,1,6,39.0,61.0,0.9,3.4,4.0,21.0,1.0,7.0,0.0,2.0,2.5,1.35,2.05,61.0,11.5,3.0,0.0,2.0,1.3333333333333333,2.033333333333333,1.4000000000000001,55.666666666666664,13.666666666666666,7.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,-0.6833333333333331,5.333333333333336,-1.1666666666666667
2020-10-04,19:15,Matchweek 4,Aston Villa,Liverpool,Home,1,7,2,31.0,69.0,2.7,1.8,18.0,14.0,11.0,8.0,1.0,2.0,0.0,1.2,0.8,53.5,15.0,3.5,1.0,3.0,1.3333333333333333,2.5,0.8333333333333334,58.666666666666664,19.666666666666668,5.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-1.0,-1.3,-5.166666666666664,1.3333333333333333
2020-10-17,12:30,Matchweek 5,Everton,Liverpool,Home,0,2,2,42.0,58.0,1.2,2.6,11.0,22.0,5.0,8.0,1.0,3.0,1.25,2.15,0.775,55.0,13.0,5.25,0.5,2.75,2.75,2.325,1.3,61.25,18.25,6.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.25,-0.17500000000000027,-6.25,1.5
2020-10-17,15:00,Matchweek 5,Chelsea,Southampton,Home,0,3,3,53.0,47.0,1.8,1.9,11.0,13.0,5.0,6.0,0.25,2.5,1.5,1.7000000000000002,1.0,58.0,12.5,5.0,0.0,1.25,1.5,1.1749999999999998,0.9750000000000001,57.25,10.0,4.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,1.25,0.5250000000000004,0.75,0.0
2020-10-17,17:30,Matchweek 5,Manchester City,Arsenal,Home,1,1,0,58.0,42.0,1.3,0.9,13.0,11.0,5.0,3.0,0.0,2.0,2.3333333333333335,1.3333333333333333,1.9666666666666668,62.0,17.333333333333332,4.666666666666667,0.5,2.0,1.25,1.225,1.25,53.5,7.5,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,0.10833333333333317,8.5,-1.0833333333333335
2020-10-17,20:00,Matchweek 5,Newcastle Utd,Manchester Utd,Home,-1,1,4,37.0,63.0,0.9,2.3,7.0,27.0,4.0,11.0,0.25,1.5,1.25,1.225,1.5250000000000001,42.75,8.75,1.5,-0.3333333333333333,1.6666666666666667,3.6666666666666665,1.2,2.5,53.666666666666664,9.0,2.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5833333333333333,-0.16666666666666674,0.025000000000000133,-10.916666666666664,2.4166666666666665
2020-10-18,12:00,Matchweek 5,Sheffield Utd,Fulham,Home,0,1,1,42.0,58.0,1.7,1.5,9.0,14.0,5.0,6.0,-1.0,0.25,1.5,0.875,1.05,39.0,8.0,1.75,-1.0,0.75,2.75,0.85,1.4749999999999999,52.75,11.0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.025000000000000022,-13.75,1.25
