date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Bournemouth,home_Brentford,home_Brighton,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Ipswich Town,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Nott'ham Forest,home_Southampton,home_Tottenham,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Bournemouth,away_Brentford,away_Brighton,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Ipswich Town,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Nott'ham Forest,away_Southampton,away_Tottenham,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2024-09-14,15:00,Matchweek 4,Fulham,West Ham,Home,0,1,1,54.0,46.0,1.5,0.8,21.0,11.0,5.0,3.0,0.0,1.0,1.0,1.0333333333333334,1.1333333333333333,50.333333333333336,12.333333333333334,4.0,-0.3333333333333333,1.3333333333333333,1.6666666666666667,1.4666666666666666,2.1,42.333333333333336,13.666666666666666,2.3333333333333335,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,-0.33333333333333326,-0.4333333333333331,8.0,0.6666666666666667
2024-09-14,15:00,Matchweek 4,Liverpool,Nott'ham Forest,Home,-1,0,1,68.0,32.0,0.9,0.4,14.0,5.0,5.0,3.0,1.0,2.3333333333333335,0.0,2.3000000000000003,0.7999999999999999,57.0,16.0,5.333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.5,0.6666666666666666,47.0,17.666666666666668,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666667,1.3333333333333335,0.8000000000000003,10.0,0.6666666666666666
2024-09-14,15:00,Matchweek 4,Manchester City,Brentford,Home,1,2,1,54.0,46.0,2.1,1.0,18.0,8.0,7.0,5.0,1.0,3.0,0.6666666666666666,2.3666666666666667,0.6666666666666666,64.66666666666667,15.666666666666666,5.666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6333333333333335,1.7333333333333334,40.333333333333336,12.333333333333334,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666667,1.3333333333333333,0.7333333333333332,24.333333333333336,0.6666666666666666
2024-09-14,17:30,Matchweek 4,Aston Villa,Everton,Home,1,3,2,72.0,28.0,2.1,0.9,17.0,6.0,7.0,2.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.5333333333333332,1.2,43.666666666666664,12.0,3.6666666666666665,-1.0,0.6666666666666666,3.3333333333333335,1.0999999999999999,2.0666666666666664,39.0,12.333333333333334,3.3333333333333335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0.6666666666666666,0.43333333333333335,4.666666666666664,2.0
2024-09-14,20:00,Matchweek 4,Bournemouth,Chelsea,Home,-1,0,1,34.0,66.0,1.7,0.8,18.0,10.0,6.0,3.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.9333333333333336,1.5666666666666667,46.333333333333336,15.333333333333334,5.0,0.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.0666666666666667,56.666666666666664,12.333333333333334,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,-0.6666666666666667,0.26666666666666683,-10.333333333333329,0.3333333333333335
2024-09-15,14:00,Matchweek 4,Tottenham,Arsenal,Home,-1,0,1,63.0,37.0,0.7,0.7,15.0,7.0,5.0,4.0,0.0,2.0,1.0,1.5999999999999999,1.2666666666666666,68.33333333333333,16.0,6.333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.4000000000000001,1.1333333333333333,49.666666666666664,12.666666666666666,5.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6666666666666666,0.33333333333333326,0.19999999999999973,18.666666666666664,-0.6666666666666667
2024-09-15,16:30,Matchweek 4,Wolves,Newcastle Utd,Home,-1,1,2,49.0,51.0,1.2,1.5,12.0,14.0,5.0,6.0,-0.6666666666666666,1.0,3.0,1.0333333333333332,1.2666666666666666,45.0,10.666666666666666,3.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.2333333333333334,1.7333333333333334,39.666666666666664,8.666666666666666,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.3333333333333333,-0.33333333333333326,-0.20000000000000018,5.333333333333336,-2.3333333333333335
2024-09-21,12:30,Matchweek 5,West Ham,Chelsea,Home,-1,0,3,53.0,47.0,0.9,2.2,15.0,12.0,7.0,5.0,-0.25,1.25,1.5,1.2999999999999998,1.95,43.25,13.0,2.5,0.25,2.0,1.25,1.45,1.225,59.0,11.75,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.75,-0.15000000000000013,-15.75,-0.25
2024-09-21,15:00,Matchweek 5,Aston Villa,Wolves,Home,1,3,1,53.0,47.0,1.7,0.5,9.0,10.0,3.0,4.0,0.5,1.75,1.5,1.675,1.125,50.75,13.25,4.5,-0.75,1.0,2.75,1.075,1.325,46.0,11.0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.25,0.75,0.6000000000000001,4.75,1.25
2024-09-21,15:00,Matchweek 5,Fulham,Newcastle Utd,Home,1,3,1,39.0,61.0,2.2,1.5,22.0,16.0,11.0,5.0,0.0,1.0,1.0,1.15,1.05,51.25,14.5,4.25,0.75,1.5,0.75,1.3,1.6,42.5,10.0,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.75,-0.5,-0.15000000000000013,8.75,-0.25
